air_temp,dni,ghi,period_end,period
1,0,0,2021-01-01T00:15:00+00:00,PT15M
0,0,0,2021-01-01T00:30:00+00:00,PT15M
0,0,0,2021-01-01T00:45:00+00:00,PT15M
-0,0,0,2021-01-01T01:00:00+00:00,PT15M
-0,0,0,2021-01-01T01:15:00+00:00,PT15M
0,0,0,2021-01-01T01:30:00+00:00,PT15M
0,0,0,2021-01-01T01:45:00+00:00,PT15M
0,0,0,2021-01-01T02:00:00+00:00,PT15M
0,0,0,2021-01-01T02:15:00+00:00,PT15M
0,0,0,2021-01-01T02:30:00+00:00,PT15M
-0,0,0,2021-01-01T02:45:00+00:00,PT15M
-0,0,0,2021-01-01T03:00:00+00:00,PT15M
-0,0,0,2021-01-01T03:15:00+00:00,PT15M
-0,0,0,2021-01-01T03:30:00+00:00,PT15M
-0,0,0,2021-01-01T03:45:00+00:00,PT15M
-1,0,0,2021-01-01T04:00:00+00:00,PT15M
-1,0,0,2021-01-01T04:15:00+00:00,PT15M
-1,0,0,2021-01-01T04:30:00+00:00,PT15M
-1,0,0,2021-01-01T04:45:00+00:00,PT15M
-1,0,0,2021-01-01T05:00:00+00:00,PT15M
-1,0,0,2021-01-01T05:15:00+00:00,PT15M
-1,0,0,2021-01-01T05:30:00+00:00,PT15M
-1,0,0,2021-01-01T05:45:00+00:00,PT15M
-1,0,0,2021-01-01T06:00:00+00:00,PT15M
-1,0,0,2021-01-01T06:15:00+00:00,PT15M
-1,0,0,2021-01-01T06:30:00+00:00,PT15M
-1,0,0,2021-01-01T06:45:00+00:00,PT15M
-1,0,0,2021-01-01T07:00:00+00:00,PT15M
-1,0,0,2021-01-01T07:15:00+00:00,PT15M
-1,0,0,2021-01-01T07:30:00+00:00,PT15M
-1,0,0,2021-01-01T07:45:00+00:00,PT15M
-1,0,0,2021-01-01T08:00:00+00:00,PT15M
-1,0,8,2021-01-01T08:15:00+00:00,PT15M
-1,0,19,2021-01-01T08:30:00+00:00,PT15M
-0,0,28,2021-01-01T08:45:00+00:00,PT15M
0,0,37,2021-01-01T09:00:00+00:00,PT15M
0,0,40,2021-01-01T09:15:00+00:00,PT15M
1,0,45,2021-01-01T09:30:00+00:00,PT15M
1,0,72,2021-01-01T09:45:00+00:00,PT15M
2,10,96,2021-01-01T10:00:00+00:00,PT15M
2,0,86,2021-01-01T10:15:00+00:00,PT15M
3,0,84,2021-01-01T10:30:00+00:00,PT15M
3,0,93,2021-01-01T10:45:00+00:00,PT15M
3,0,89,2021-01-01T11:00:00+00:00,PT15M
3,0,71,2021-01-01T11:15:00+00:00,PT15M
4,0,67,2021-01-01T11:30:00+00:00,PT15M
4,0,77,2021-01-01T11:45:00+00:00,PT15M
4,0,103,2021-01-01T12:00:00+00:00,PT15M
5,0,104,2021-01-01T12:15:00+00:00,PT15M
5,0,106,2021-01-01T12:30:00+00:00,PT15M
5,86,133,2021-01-01T12:45:00+00:00,PT15M
5,243,143,2021-01-01T13:00:00+00:00,PT15M
5,315,139,2021-01-01T13:15:00+00:00,PT15M
5,226,120,2021-01-01T13:30:00+00:00,PT15M
5,344,116,2021-01-01T13:45:00+00:00,PT15M
5,254,95,2021-01-01T14:00:00+00:00,PT15M
5,213,77,2021-01-01T14:15:00+00:00,PT15M
5,81,54,2021-01-01T14:30:00+00:00,PT15M
4,0,30,2021-01-01T14:45:00+00:00,PT15M
4,0,15,2021-01-01T15:00:00+00:00,PT15M
4,0,6,2021-01-01T15:15:00+00:00,PT15M
4,0,0,2021-01-01T15:30:00+00:00,PT15M
4,0,0,2021-01-01T15:45:00+00:00,PT15M
4,0,0,2021-01-01T16:00:00+00:00,PT15M
3,0,0,2021-01-01T16:15:00+00:00,PT15M
3,0,0,2021-01-01T16:30:00+00:00,PT15M
3,0,0,2021-01-01T16:45:00+00:00,PT15M
3,0,0,2021-01-01T17:00:00+00:00,PT15M
3,0,0,2021-01-01T17:15:00+00:00,PT15M
3,0,0,2021-01-01T17:30:00+00:00,PT15M
3,0,0,2021-01-01T17:45:00+00:00,PT15M
3,0,0,2021-01-01T18:00:00+00:00,PT15M
3,0,0,2021-01-01T18:15:00+00:00,PT15M
3,0,0,2021-01-01T18:30:00+00:00,PT15M
3,0,0,2021-01-01T18:45:00+00:00,PT15M
3,0,0,2021-01-01T19:00:00+00:00,PT15M
3,0,0,2021-01-01T19:15:00+00:00,PT15M
3,0,0,2021-01-01T19:30:00+00:00,PT15M
3,0,0,2021-01-01T19:45:00+00:00,PT15M
3,0,0,2021-01-01T20:00:00+00:00,PT15M
3,0,0,2021-01-01T20:15:00+00:00,PT15M
3,0,0,2021-01-01T20:30:00+00:00,PT15M
3,0,0,2021-01-01T20:45:00+00:00,PT15M
3,0,0,2021-01-01T21:00:00+00:00,PT15M
3,0,0,2021-01-01T21:15:00+00:00,PT15M
3,0,0,2021-01-01T21:30:00+00:00,PT15M
3,0,0,2021-01-01T21:45:00+00:00,PT15M
3,0,0,2021-01-01T22:00:00+00:00,PT15M
3,0,0,2021-01-01T22:15:00+00:00,PT15M
3,0,0,2021-01-01T22:30:00+00:00,PT15M
3,0,0,2021-01-01T22:45:00+00:00,PT15M
3,0,0,2021-01-01T23:00:00+00:00,PT15M
3,0,0,2021-01-01T23:15:00+00:00,PT15M
3,0,0,2021-01-01T23:30:00+00:00,PT15M
3,0,0,2021-01-01T23:45:00+00:00,PT15M
3,0,0,2021-01-02T00:00:00+00:00,PT15M
3,0,0,2021-01-02T00:15:00+00:00,PT15M
3,0,0,2021-01-02T00:30:00+00:00,PT15M
3,0,0,2021-01-02T00:45:00+00:00,PT15M
3,0,0,2021-01-02T01:00:00+00:00,PT15M
3,0,0,2021-01-02T01:15:00+00:00,PT15M
3,0,0,2021-01-02T01:30:00+00:00,PT15M
3,0,0,2021-01-02T01:45:00+00:00,PT15M
3,0,0,2021-01-02T02:00:00+00:00,PT15M
3,0,0,2021-01-02T02:15:00+00:00,PT15M
3,0,0,2021-01-02T02:30:00+00:00,PT15M
3,0,0,2021-01-02T02:45:00+00:00,PT15M
3,0,0,2021-01-02T03:00:00+00:00,PT15M
3,0,0,2021-01-02T03:15:00+00:00,PT15M
3,0,0,2021-01-02T03:30:00+00:00,PT15M
3,0,0,2021-01-02T03:45:00+00:00,PT15M
3,0,0,2021-01-02T04:00:00+00:00,PT15M
3,0,0,2021-01-02T04:15:00+00:00,PT15M
3,0,0,2021-01-02T04:30:00+00:00,PT15M
3,0,0,2021-01-02T04:45:00+00:00,PT15M
3,0,0,2021-01-02T05:00:00+00:00,PT15M
3,0,0,2021-01-02T05:15:00+00:00,PT15M
3,0,0,2021-01-02T05:30:00+00:00,PT15M
3,0,0,2021-01-02T05:45:00+00:00,PT15M
3,0,0,2021-01-02T06:00:00+00:00,PT15M
3,0,0,2021-01-02T06:15:00+00:00,PT15M
2,0,0,2021-01-02T06:30:00+00:00,PT15M
2,0,0,2021-01-02T06:45:00+00:00,PT15M
2,0,0,2021-01-02T07:00:00+00:00,PT15M
2,0,0,2021-01-02T07:15:00+00:00,PT15M
2,0,0,2021-01-02T07:30:00+00:00,PT15M
2,0,0,2021-01-02T07:45:00+00:00,PT15M
2,0,0,2021-01-02T08:00:00+00:00,PT15M
2,0,6,2021-01-02T08:15:00+00:00,PT15M
2,0,18,2021-01-02T08:30:00+00:00,PT15M
2,0,26,2021-01-02T08:45:00+00:00,PT15M
2,0,30,2021-01-02T09:00:00+00:00,PT15M
2,0,37,2021-01-02T09:15:00+00:00,PT15M
2,0,43,2021-01-02T09:30:00+00:00,PT15M
3,0,53,2021-01-02T09:45:00+00:00,PT15M
3,0,69,2021-01-02T10:00:00+00:00,PT15M
4,0,80,2021-01-02T10:15:00+00:00,PT15M
4,0,88,2021-01-02T10:30:00+00:00,PT15M
4,0,87,2021-01-02T10:45:00+00:00,PT15M
4,0,71,2021-01-02T11:00:00+00:00,PT15M
4,0,51,2021-01-02T11:15:00+00:00,PT15M
5,0,36,2021-01-02T11:30:00+00:00,PT15M
5,0,32,2021-01-02T11:45:00+00:00,PT15M
5,0,42,2021-01-02T12:00:00+00:00,PT15M
5,0,69,2021-01-02T12:15:00+00:00,PT15M
5,0,78,2021-01-02T12:30:00+00:00,PT15M
5,0,77,2021-01-02T12:45:00+00:00,PT15M
5,0,65,2021-01-02T13:00:00+00:00,PT15M
5,0,60,2021-01-02T13:15:00+00:00,PT15M
5,0,62,2021-01-02T13:30:00+00:00,PT15M
5,0,65,2021-01-02T13:45:00+00:00,PT15M
5,0,53,2021-01-02T14:00:00+00:00,PT15M
5,0,42,2021-01-02T14:15:00+00:00,PT15M
4,0,43,2021-01-02T14:30:00+00:00,PT15M
4,14,31,2021-01-02T14:45:00+00:00,PT15M
4,0,8,2021-01-02T15:00:00+00:00,PT15M
4,0,2,2021-01-02T15:15:00+00:00,PT15M
3,0,0,2021-01-02T15:30:00+00:00,PT15M
3,0,0,2021-01-02T15:45:00+00:00,PT15M
3,0,0,2021-01-02T16:00:00+00:00,PT15M
2,0,0,2021-01-02T16:15:00+00:00,PT15M
2,0,0,2021-01-02T16:30:00+00:00,PT15M
2,0,0,2021-01-02T16:45:00+00:00,PT15M
2,0,0,2021-01-02T17:00:00+00:00,PT15M
2,0,0,2021-01-02T17:15:00+00:00,PT15M
2,0,0,2021-01-02T17:30:00+00:00,PT15M
2,0,0,2021-01-02T17:45:00+00:00,PT15M
2,0,0,2021-01-02T18:00:00+00:00,PT15M
2,0,0,2021-01-02T18:15:00+00:00,PT15M
2,0,0,2021-01-02T18:30:00+00:00,PT15M
2,0,0,2021-01-02T18:45:00+00:00,PT15M
2,0,0,2021-01-02T19:00:00+00:00,PT15M
2,0,0,2021-01-02T19:15:00+00:00,PT15M
2,0,0,2021-01-02T19:30:00+00:00,PT15M
2,0,0,2021-01-02T19:45:00+00:00,PT15M
3,0,0,2021-01-02T20:00:00+00:00,PT15M
3,0,0,2021-01-02T20:15:00+00:00,PT15M
3,0,0,2021-01-02T20:30:00+00:00,PT15M
3,0,0,2021-01-02T20:45:00+00:00,PT15M
3,0,0,2021-01-02T21:00:00+00:00,PT15M
3,0,0,2021-01-02T21:15:00+00:00,PT15M
3,0,0,2021-01-02T21:30:00+00:00,PT15M
3,0,0,2021-01-02T21:45:00+00:00,PT15M
3,0,0,2021-01-02T22:00:00+00:00,PT15M
3,0,0,2021-01-02T22:15:00+00:00,PT15M
3,0,0,2021-01-02T22:30:00+00:00,PT15M
3,0,0,2021-01-02T22:45:00+00:00,PT15M
3,0,0,2021-01-02T23:00:00+00:00,PT15M
3,0,0,2021-01-02T23:15:00+00:00,PT15M
3,0,0,2021-01-02T23:30:00+00:00,PT15M
3,0,0,2021-01-02T23:45:00+00:00,PT15M
3,0,0,2021-01-03T00:00:00+00:00,PT15M
3,0,0,2021-01-03T00:15:00+00:00,PT15M
3,0,0,2021-01-03T00:30:00+00:00,PT15M
3,0,0,2021-01-03T00:45:00+00:00,PT15M
3,0,0,2021-01-03T01:00:00+00:00,PT15M
3,0,0,2021-01-03T01:15:00+00:00,PT15M
3,0,0,2021-01-03T01:30:00+00:00,PT15M
3,0,0,2021-01-03T01:45:00+00:00,PT15M
3,0,0,2021-01-03T02:00:00+00:00,PT15M
2,0,0,2021-01-03T02:15:00+00:00,PT15M
3,0,0,2021-01-03T02:30:00+00:00,PT15M
3,0,0,2021-01-03T02:45:00+00:00,PT15M
3,0,0,2021-01-03T03:00:00+00:00,PT15M
3,0,0,2021-01-03T03:15:00+00:00,PT15M
2,0,0,2021-01-03T03:30:00+00:00,PT15M
2,0,0,2021-01-03T03:45:00+00:00,PT15M
2,0,0,2021-01-03T04:00:00+00:00,PT15M
2,0,0,2021-01-03T04:15:00+00:00,PT15M
2,0,0,2021-01-03T04:30:00+00:00,PT15M
3,0,0,2021-01-03T04:45:00+00:00,PT15M
3,0,0,2021-01-03T05:00:00+00:00,PT15M
3,0,0,2021-01-03T05:15:00+00:00,PT15M
3,0,0,2021-01-03T05:30:00+00:00,PT15M
3,0,0,2021-01-03T05:45:00+00:00,PT15M
3,0,0,2021-01-03T06:00:00+00:00,PT15M
3,0,0,2021-01-03T06:15:00+00:00,PT15M
3,0,0,2021-01-03T06:30:00+00:00,PT15M
3,0,0,2021-01-03T06:45:00+00:00,PT15M
3,0,0,2021-01-03T07:00:00+00:00,PT15M
3,0,0,2021-01-03T07:15:00+00:00,PT15M
3,0,0,2021-01-03T07:30:00+00:00,PT15M
3,0,0,2021-01-03T07:45:00+00:00,PT15M
3,0,0,2021-01-03T08:00:00+00:00,PT15M
3,0,6,2021-01-03T08:15:00+00:00,PT15M
3,0,14,2021-01-03T08:30:00+00:00,PT15M
3,0,19,2021-01-03T08:45:00+00:00,PT15M
3,0,20,2021-01-03T09:00:00+00:00,PT15M
3,0,21,2021-01-03T09:15:00+00:00,PT15M
3,0,20,2021-01-03T09:30:00+00:00,PT15M
3,0,24,2021-01-03T09:45:00+00:00,PT15M
3,0,37,2021-01-03T10:00:00+00:00,PT15M
3,0,48,2021-01-03T10:15:00+00:00,PT15M
3,0,61,2021-01-03T10:30:00+00:00,PT15M
3,0,72,2021-01-03T10:45:00+00:00,PT15M
4,0,76,2021-01-03T11:00:00+00:00,PT15M
4,0,85,2021-01-03T11:15:00+00:00,PT15M
4,0,90,2021-01-03T11:30:00+00:00,PT15M
4,0,102,2021-01-03T11:45:00+00:00,PT15M
4,27,138,2021-01-03T12:00:00+00:00,PT15M
4,154,156,2021-01-03T12:15:00+00:00,PT15M
4,75,137,2021-01-03T12:30:00+00:00,PT15M
4,0,107,2021-01-03T12:45:00+00:00,PT15M
4,50,125,2021-01-03T13:00:00+00:00,PT15M
4,141,126,2021-01-03T13:15:00+00:00,PT15M
4,338,134,2021-01-03T13:30:00+00:00,PT15M
4,53,92,2021-01-03T13:45:00+00:00,PT15M
4,0,64,2021-01-03T14:00:00+00:00,PT15M
3,5,63,2021-01-03T14:15:00+00:00,PT15M
3,0,42,2021-01-03T14:30:00+00:00,PT15M
3,0,32,2021-01-03T14:45:00+00:00,PT15M
3,0,17,2021-01-03T15:00:00+00:00,PT15M
3,0,5,2021-01-03T15:15:00+00:00,PT15M
3,0,0,2021-01-03T15:30:00+00:00,PT15M
3,0,0,2021-01-03T15:45:00+00:00,PT15M
3,0,0,2021-01-03T16:00:00+00:00,PT15M
3,0,0,2021-01-03T16:15:00+00:00,PT15M
3,0,0,2021-01-03T16:30:00+00:00,PT15M
3,0,0,2021-01-03T16:45:00+00:00,PT15M
3,0,0,2021-01-03T17:00:00+00:00,PT15M
3,0,0,2021-01-03T17:15:00+00:00,PT15M
3,0,0,2021-01-03T17:30:00+00:00,PT15M
3,0,0,2021-01-03T17:45:00+00:00,PT15M
3,0,0,2021-01-03T18:00:00+00:00,PT15M
3,0,0,2021-01-03T18:15:00+00:00,PT15M
3,0,0,2021-01-03T18:30:00+00:00,PT15M
4,0,0,2021-01-03T18:45:00+00:00,PT15M
4,0,0,2021-01-03T19:00:00+00:00,PT15M
4,0,0,2021-01-03T19:15:00+00:00,PT15M
4,0,0,2021-01-03T19:30:00+00:00,PT15M
4,0,0,2021-01-03T19:45:00+00:00,PT15M
4,0,0,2021-01-03T20:00:00+00:00,PT15M
4,0,0,2021-01-03T20:15:00+00:00,PT15M
4,0,0,2021-01-03T20:30:00+00:00,PT15M
4,0,0,2021-01-03T20:45:00+00:00,PT15M
4,0,0,2021-01-03T21:00:00+00:00,PT15M
4,0,0,2021-01-03T21:15:00+00:00,PT15M
4,0,0,2021-01-03T21:30:00+00:00,PT15M
4,0,0,2021-01-03T21:45:00+00:00,PT15M
4,0,0,2021-01-03T22:00:00+00:00,PT15M
4,0,0,2021-01-03T22:15:00+00:00,PT15M
4,0,0,2021-01-03T22:30:00+00:00,PT15M
4,0,0,2021-01-03T22:45:00+00:00,PT15M
4,0,0,2021-01-03T23:00:00+00:00,PT15M
4,0,0,2021-01-03T23:15:00+00:00,PT15M
4,0,0,2021-01-03T23:30:00+00:00,PT15M
4,0,0,2021-01-03T23:45:00+00:00,PT15M
4,0,0,2021-01-04T00:00:00+00:00,PT15M
4,0,0,2021-01-04T00:15:00+00:00,PT15M
4,0,0,2021-01-04T00:30:00+00:00,PT15M
4,0,0,2021-01-04T00:45:00+00:00,PT15M
4,0,0,2021-01-04T01:00:00+00:00,PT15M
4,0,0,2021-01-04T01:15:00+00:00,PT15M
4,0,0,2021-01-04T01:30:00+00:00,PT15M
4,0,0,2021-01-04T01:45:00+00:00,PT15M
4,0,0,2021-01-04T02:00:00+00:00,PT15M
4,0,0,2021-01-04T02:15:00+00:00,PT15M
4,0,0,2021-01-04T02:30:00+00:00,PT15M
4,0,0,2021-01-04T02:45:00+00:00,PT15M
4,0,0,2021-01-04T03:00:00+00:00,PT15M
4,0,0,2021-01-04T03:15:00+00:00,PT15M
4,0,0,2021-01-04T03:30:00+00:00,PT15M
4,0,0,2021-01-04T03:45:00+00:00,PT15M
4,0,0,2021-01-04T04:00:00+00:00,PT15M
4,0,0,2021-01-04T04:15:00+00:00,PT15M
3,0,0,2021-01-04T04:30:00+00:00,PT15M
3,0,0,2021-01-04T04:45:00+00:00,PT15M
3,0,0,2021-01-04T05:00:00+00:00,PT15M
3,0,0,2021-01-04T05:15:00+00:00,PT15M
3,0,0,2021-01-04T05:30:00+00:00,PT15M
3,0,0,2021-01-04T05:45:00+00:00,PT15M
3,0,0,2021-01-04T06:00:00+00:00,PT15M
3,0,0,2021-01-04T06:15:00+00:00,PT15M
3,0,0,2021-01-04T06:30:00+00:00,PT15M
3,0,0,2021-01-04T06:45:00+00:00,PT15M
3,0,0,2021-01-04T07:00:00+00:00,PT15M
3,0,0,2021-01-04T07:15:00+00:00,PT15M
3,0,0,2021-01-04T07:30:00+00:00,PT15M
3,0,0,2021-01-04T07:45:00+00:00,PT15M
3,0,0,2021-01-04T08:00:00+00:00,PT15M
3,0,1,2021-01-04T08:15:00+00:00,PT15M
3,0,4,2021-01-04T08:30:00+00:00,PT15M
3,0,10,2021-01-04T08:45:00+00:00,PT15M
3,0,23,2021-01-04T09:00:00+00:00,PT15M
3,0,39,2021-01-04T09:15:00+00:00,PT15M
3,0,51,2021-01-04T09:30:00+00:00,PT15M
3,0,64,2021-01-04T09:45:00+00:00,PT15M
3,0,85,2021-01-04T10:00:00+00:00,PT15M
3,0,77,2021-01-04T10:15:00+00:00,PT15M
3,0,51,2021-01-04T10:30:00+00:00,PT15M
3,0,58,2021-01-04T10:45:00+00:00,PT15M
3,0,76,2021-01-04T11:00:00+00:00,PT15M
3,0,70,2021-01-04T11:15:00+00:00,PT15M
3,0,63,2021-01-04T11:30:00+00:00,PT15M
3,0,56,2021-01-04T11:45:00+00:00,PT15M
3,0,41,2021-01-04T12:00:00+00:00,PT15M
3,0,32,2021-01-04T12:15:00+00:00,PT15M
3,0,33,2021-01-04T12:30:00+00:00,PT15M
3,0,36,2021-01-04T12:45:00+00:00,PT15M
3,0,34,2021-01-04T13:00:00+00:00,PT15M
3,0,33,2021-01-04T13:15:00+00:00,PT15M
3,0,34,2021-01-04T13:30:00+00:00,PT15M
3,0,34,2021-01-04T13:45:00+00:00,PT15M
3,0,33,2021-01-04T14:00:00+00:00,PT15M
3,0,28,2021-01-04T14:15:00+00:00,PT15M
3,0,29,2021-01-04T14:30:00+00:00,PT15M
3,0,29,2021-01-04T14:45:00+00:00,PT15M
2,0,17,2021-01-04T15:00:00+00:00,PT15M
2,0,6,2021-01-04T15:15:00+00:00,PT15M
2,0,0,2021-01-04T15:30:00+00:00,PT15M
2,0,0,2021-01-04T15:45:00+00:00,PT15M
2,0,0,2021-01-04T16:00:00+00:00,PT15M
2,0,0,2021-01-04T16:15:00+00:00,PT15M
2,0,0,2021-01-04T16:30:00+00:00,PT15M
2,0,0,2021-01-04T16:45:00+00:00,PT15M
2,0,0,2021-01-04T17:00:00+00:00,PT15M
2,0,0,2021-01-04T17:15:00+00:00,PT15M
2,0,0,2021-01-04T17:30:00+00:00,PT15M
2,0,0,2021-01-04T17:45:00+00:00,PT15M
2,0,0,2021-01-04T18:00:00+00:00,PT15M
2,0,0,2021-01-04T18:15:00+00:00,PT15M
2,0,0,2021-01-04T18:30:00+00:00,PT15M
2,0,0,2021-01-04T18:45:00+00:00,PT15M
2,0,0,2021-01-04T19:00:00+00:00,PT15M
2,0,0,2021-01-04T19:15:00+00:00,PT15M
2,0,0,2021-01-04T19:30:00+00:00,PT15M
2,0,0,2021-01-04T19:45:00+00:00,PT15M
2,0,0,2021-01-04T20:00:00+00:00,PT15M
2,0,0,2021-01-04T20:15:00+00:00,PT15M
2,0,0,2021-01-04T20:30:00+00:00,PT15M
2,0,0,2021-01-04T20:45:00+00:00,PT15M
2,0,0,2021-01-04T21:00:00+00:00,PT15M
2,0,0,2021-01-04T21:15:00+00:00,PT15M
2,0,0,2021-01-04T21:30:00+00:00,PT15M
2,0,0,2021-01-04T21:45:00+00:00,PT15M
2,0,0,2021-01-04T22:00:00+00:00,PT15M
2,0,0,2021-01-04T22:15:00+00:00,PT15M
2,0,0,2021-01-04T22:30:00+00:00,PT15M
2,0,0,2021-01-04T22:45:00+00:00,PT15M
2,0,0,2021-01-04T23:00:00+00:00,PT15M
2,0,0,2021-01-04T23:15:00+00:00,PT15M
2,0,0,2021-01-04T23:30:00+00:00,PT15M
3,0,0,2021-01-04T23:45:00+00:00,PT15M
3,0,0,2021-01-05T00:00:00+00:00,PT15M
3,0,0,2021-01-05T00:15:00+00:00,PT15M
3,0,0,2021-01-05T00:30:00+00:00,PT15M
2,0,0,2021-01-05T00:45:00+00:00,PT15M
2,0,0,2021-01-05T01:00:00+00:00,PT15M
2,0,0,2021-01-05T01:15:00+00:00,PT15M
2,0,0,2021-01-05T01:30:00+00:00,PT15M
2,0,0,2021-01-05T01:45:00+00:00,PT15M
2,0,0,2021-01-05T02:00:00+00:00,PT15M
2,0,0,2021-01-05T02:15:00+00:00,PT15M
2,0,0,2021-01-05T02:30:00+00:00,PT15M
3,0,0,2021-01-05T02:45:00+00:00,PT15M
3,0,0,2021-01-05T03:00:00+00:00,PT15M
3,0,0,2021-01-05T03:15:00+00:00,PT15M
3,0,0,2021-01-05T03:30:00+00:00,PT15M
3,0,0,2021-01-05T03:45:00+00:00,PT15M
3,0,0,2021-01-05T04:00:00+00:00,PT15M
3,0,0,2021-01-05T04:15:00+00:00,PT15M
3,0,0,2021-01-05T04:30:00+00:00,PT15M
3,0,0,2021-01-05T04:45:00+00:00,PT15M
3,0,0,2021-01-05T05:00:00+00:00,PT15M
3,0,0,2021-01-05T05:15:00+00:00,PT15M
3,0,0,2021-01-05T05:30:00+00:00,PT15M
3,0,0,2021-01-05T05:45:00+00:00,PT15M
3,0,0,2021-01-05T06:00:00+00:00,PT15M
3,0,0,2021-01-05T06:15:00+00:00,PT15M
3,0,0,2021-01-05T06:30:00+00:00,PT15M
3,0,0,2021-01-05T06:45:00+00:00,PT15M
3,0,0,2021-01-05T07:00:00+00:00,PT15M
3,0,0,2021-01-05T07:15:00+00:00,PT15M
3,0,0,2021-01-05T07:30:00+00:00,PT15M
3,0,0,2021-01-05T07:45:00+00:00,PT15M
3,0,0,2021-01-05T08:00:00+00:00,PT15M
3,0,5,2021-01-05T08:15:00+00:00,PT15M
3,0,11,2021-01-05T08:30:00+00:00,PT15M
3,0,10,2021-01-05T08:45:00+00:00,PT15M
3,0,5,2021-01-05T09:00:00+00:00,PT15M
3,0,7,2021-01-05T09:15:00+00:00,PT15M
3,0,8,2021-01-05T09:30:00+00:00,PT15M
3,0,13,2021-01-05T09:45:00+00:00,PT15M
3,0,31,2021-01-05T10:00:00+00:00,PT15M
3,0,32,2021-01-05T10:15:00+00:00,PT15M
3,0,16,2021-01-05T10:30:00+00:00,PT15M
3,0,19,2021-01-05T10:45:00+00:00,PT15M
3,0,23,2021-01-05T11:00:00+00:00,PT15M
3,0,27,2021-01-05T11:15:00+00:00,PT15M
3,0,29,2021-01-05T11:30:00+00:00,PT15M
3,0,31,2021-01-05T11:45:00+00:00,PT15M
3,0,31,2021-01-05T12:00:00+00:00,PT15M
3,0,35,2021-01-05T12:15:00+00:00,PT15M
3,0,37,2021-01-05T12:30:00+00:00,PT15M
3,0,36,2021-01-05T12:45:00+00:00,PT15M
3,0,36,2021-01-05T13:00:00+00:00,PT15M
3,0,34,2021-01-05T13:15:00+00:00,PT15M
3,0,33,2021-01-05T13:30:00+00:00,PT15M
3,0,31,2021-01-05T13:45:00+00:00,PT15M
3,0,28,2021-01-05T14:00:00+00:00,PT15M
3,0,24,2021-01-05T14:15:00+00:00,PT15M
3,0,22,2021-01-05T14:30:00+00:00,PT15M
3,0,18,2021-01-05T14:45:00+00:00,PT15M
3,0,9,2021-01-05T15:00:00+00:00,PT15M
3,0,3,2021-01-05T15:15:00+00:00,PT15M
3,0,0,2021-01-05T15:30:00+00:00,PT15M
3,0,0,2021-01-05T15:45:00+00:00,PT15M
3,0,0,2021-01-05T16:00:00+00:00,PT15M
3,0,0,2021-01-05T16:15:00+00:00,PT15M
3,0,0,2021-01-05T16:30:00+00:00,PT15M
3,0,0,2021-01-05T16:45:00+00:00,PT15M
3,0,0,2021-01-05T17:00:00+00:00,PT15M
3,0,0,2021-01-05T17:15:00+00:00,PT15M
3,0,0,2021-01-05T17:30:00+00:00,PT15M
3,0,0,2021-01-05T17:45:00+00:00,PT15M
3,0,0,2021-01-05T18:00:00+00:00,PT15M
3,0,0,2021-01-05T18:15:00+00:00,PT15M
3,0,0,2021-01-05T18:30:00+00:00,PT15M
3,0,0,2021-01-05T18:45:00+00:00,PT15M
3,0,0,2021-01-05T19:00:00+00:00,PT15M
3,0,0,2021-01-05T19:15:00+00:00,PT15M
3,0,0,2021-01-05T19:30:00+00:00,PT15M
3,0,0,2021-01-05T19:45:00+00:00,PT15M
3,0,0,2021-01-05T20:00:00+00:00,PT15M
3,0,0,2021-01-05T20:15:00+00:00,PT15M
3,0,0,2021-01-05T20:30:00+00:00,PT15M
3,0,0,2021-01-05T20:45:00+00:00,PT15M
2,0,0,2021-01-05T21:00:00+00:00,PT15M
2,0,0,2021-01-05T21:15:00+00:00,PT15M
2,0,0,2021-01-05T21:30:00+00:00,PT15M
3,0,0,2021-01-05T21:45:00+00:00,PT15M
3,0,0,2021-01-05T22:00:00+00:00,PT15M
3,0,0,2021-01-05T22:15:00+00:00,PT15M
3,0,0,2021-01-05T22:30:00+00:00,PT15M
2,0,0,2021-01-05T22:45:00+00:00,PT15M
2,0,0,2021-01-05T23:00:00+00:00,PT15M
2,0,0,2021-01-05T23:15:00+00:00,PT15M
2,0,0,2021-01-05T23:30:00+00:00,PT15M
2,0,0,2021-01-05T23:45:00+00:00,PT15M
2,0,0,2021-01-06T00:00:00+00:00,PT15M
2,0,0,2021-01-06T00:15:00+00:00,PT15M
2,0,0,2021-01-06T00:30:00+00:00,PT15M
2,0,0,2021-01-06T00:45:00+00:00,PT15M
2,0,0,2021-01-06T01:00:00+00:00,PT15M
2,0,0,2021-01-06T01:15:00+00:00,PT15M
2,0,0,2021-01-06T01:30:00+00:00,PT15M
2,0,0,2021-01-06T01:45:00+00:00,PT15M
2,0,0,2021-01-06T02:00:00+00:00,PT15M
2,0,0,2021-01-06T02:15:00+00:00,PT15M
2,0,0,2021-01-06T02:30:00+00:00,PT15M
2,0,0,2021-01-06T02:45:00+00:00,PT15M
2,0,0,2021-01-06T03:00:00+00:00,PT15M
2,0,0,2021-01-06T03:15:00+00:00,PT15M
2,0,0,2021-01-06T03:30:00+00:00,PT15M
2,0,0,2021-01-06T03:45:00+00:00,PT15M
2,0,0,2021-01-06T04:00:00+00:00,PT15M
2,0,0,2021-01-06T04:15:00+00:00,PT15M
2,0,0,2021-01-06T04:30:00+00:00,PT15M
